Year,1,2,3,4,5,6,7,8,9,10,11,12
1880,-0.29,-0.18,-0.11,-0.2,-0.12,-0.23,-0.21,-0.09,-0.16,-0.23,-0.2,-0.23
1881,-0.16,-0.17,0.04,0.04,0.02,-0.2,-0.07,-0.03,-0.14,-0.21,-0.22,-0.11
1882,0.14,0.15,0.03,-0.19,-0.16,-0.26,-0.21,-0.06,-0.1,-0.25,-0.16,-0.25
1883,-0.32,-0.39,-0.13,-0.17,-0.2,-0.13,-0.08,-0.15,-0.21,-0.14,-0.22,-0.16
1884,-0.16,-0.08,-0.37,-0.43,-0.37,-0.41,-0.35,-0.26,-0.27,-0.24,-0.3,-0.29
1885,-0.59,-0.3,-0.25,-0.42,-0.42,-0.44,-0.36,-0.32,-0.24,-0.19,-0.2,-0.05
1886,-0.42,-0.45,-0.39,-0.28,-0.26,-0.39,-0.22,-0.34,-0.26,-0.29,-0.31,-0.27
1887,-0.73,-0.52,-0.34,-0.39,-0.32,-0.24,-0.23,-0.32,-0.23,-0.33,-0.23,-0.34
1888,-0.38,-0.36,-0.41,-0.22,-0.22,-0.18,-0.09,-0.16,-0.1,0.02,0.01,-0.06
1889,-0.11,0.19,0.08,0.07,-0.02,-0.14,-0.1,-0.2,-0.22,-0.22,-0.33,-0.3
1890,-0.44,-0.45,-0.4,-0.37,-0.45,-0.27,-0.27,-0.38,-0.39,-0.24,-0.48,-0.31
1891,-0.42,-0.47,-0.19,-0.28,-0.18,-0.2,-0.2,-0.16,-0.14,-0.21,-0.35,-0.04
1892,-0.28,-0.12,-0.35,-0.35,-0.25,-0.23,-0.32,-0.25,-0.13,-0.13,-0.42,-0.39
1893,-0.8,-0.54,-0.23,-0.3,-0.36,-0.29,-0.16,-0.27,-0.2,-0.17,-0.17,-0.35
1894,-0.54,-0.33,-0.25,-0.48,-0.35,-0.44,-0.26,-0.22,-0.25,-0.21,-0.25,-0.2
1895,-0.44,-0.42,-0.29,-0.25,-0.27,-0.24,-0.18,-0.16,-0.09,-0.08,-0.15,-0.16
1896,-0.26,-0.14,-0.26,-0.31,-0.18,-0.14,-0.04,-0.04,-0.03,0.11,-0.08,-0.04
1897,-0.15,-0.15,-0.14,-0.02,-0.05,-0.16,-0.07,-0.11,-0.08,-0.12,-0.19,-0.19
1898,-0.03,-0.3,-0.52,-0.33,-0.32,-0.21,-0.24,-0.25,-0.22,-0.33,-0.38,-0.25
1899,-0.19,-0.4,-0.34,-0.21,-0.23,-0.33,-0.18,-0.07,-0.03,-0.05,0.12,-0.28
1900,-0.37,-0.03,0.01,-0.12,-0.1,-0.13,-0.13,-0.1,-0.05,0.09,-0.1,-0.07
1901,-0.24,-0.04,0.08,-0.04,-0.17,-0.13,-0.16,-0.2,-0.22,-0.31,-0.17,-0.28
1902,-0.2,-0.03,-0.29,-0.3,-0.35,-0.35,-0.3,-0.32,-0.29,-0.29,-0.39,-0.46
1903,-0.26,-0.04,-0.24,-0.43,-0.44,-0.46,-0.37,-0.49,-0.49,-0.48,-0.45,-0.52
1904,-0.68,-0.58,-0.51,-0.55,-0.56,-0.51,-0.54,-0.5,-0.53,-0.4,-0.22,-0.35
1905,-0.4,-0.59,-0.24,-0.36,-0.33,-0.31,-0.29,-0.22,-0.19,-0.25,-0.1,-0.19
1906,-0.28,-0.31,-0.16,-0.04,-0.24,-0.21,-0.25,-0.2,-0.27,-0.19,-0.39,-0.16
1907,-0.42,-0.51,-0.27,-0.39,-0.47,-0.44,-0.37,-0.35,-0.33,-0.24,-0.49,-0.48
1908,-0.44,-0.31,-0.54,-0.46,-0.41,-0.41,-0.4,-0.46,-0.36,-0.45,-0.5,-0.49
1909,-0.69,-0.47,-0.51,-0.6,-0.56,-0.53,-0.45,-0.31,-0.35,-0.37,-0.31,-0.55
1910,-0.45,-0.44,-0.51,-0.4,-0.35,-0.38,-0.35,-0.37,-0.36,-0.38,-0.54,-0.66
1911,-0.64,-0.58,-0.6,-0.54,-0.52,-0.48,-0.41,-0.42,-0.38,-0.23,-0.18,-0.22
1912,-0.26,-0.12,-0.35,-0.2,-0.22,-0.26,-0.44,-0.55,-0.51,-0.57,-0.38,-0.43
1913,-0.42,-0.43,-0.43,-0.4,-0.47,-0.49,-0.37,-0.34,-0.36,-0.34,-0.19,-0.04
1914,0.04,-0.11,-0.22,-0.29,-0.23,-0.26,-0.24,-0.14,-0.13,-0.04,-0.18,-0.08
1915,-0.17,0,-0.1,0.06,-0.07,-0.21,-0.11,-0.2,-0.17,-0.25,-0.13,-0.17
1916,-0.09,-0.13,-0.28,-0.3,-0.32,-0.47,-0.36,-0.26,-0.32,-0.27,-0.4,-0.8
1917,-0.58,-0.61,-0.6,-0.51,-0.55,-0.43,-0.25,-0.22,-0.18,-0.4,-0.28,-0.68
1918,-0.42,-0.32,-0.25,-0.45,-0.46,-0.36,-0.31,-0.3,-0.15,-0.05,-0.11,-0.28
1919,-0.2,-0.23,-0.2,-0.14,-0.28,-0.38,-0.29,-0.33,-0.22,-0.19,-0.41,-0.42
1920,-0.23,-0.23,-0.08,-0.26,-0.27,-0.36,-0.32,-0.25,-0.2,-0.27,-0.27,-0.44
